NLC,TLC,Station Name,Region,Local Authority,OS Grid Easting,OS Grid Northing,Station Facility Owner,1617_Entry_Exits
7921,GLS,Glaisdale,Yorkshire And The Humber,Scarborough,478330,505555,Northern,18298
2454,GCW,Glan Conwy,Wales - Cymru,Conwy - Conwy,280200,376000,Arriva Trains Wales,3566
9813,GLC,Glasgow Central,Scotland,Glasgow City,258794,665257,Network Rail,32060134
9950,GLQ,Glasgow Queen Street,Scotland,Glasgow City,259190,665515,ScotRail,14682214
8360,GLH,Glasshoughton,Yorkshire And The Humber,Wakefield,443530,423825,Northern,186498
2301,GLZ,Glazebrook,North West,Warrington,369555,392495,Northern,47032
8715,GLE,Gleneagles,Scotland,Perth and Kinross,292900,710500,ScotRail,68730
8828,GLF,Glenfinnan,Scotland,Highland,189870,780970,ScotRail,9122
9503,GLG,Glengarnock,Scotland,North Ayrshire,232190,652740,ScotRail,369082
9301,GLT,Glenrothes with Thornton,Scotland,Fife,329110,697220,ScotRail,76916
2895,GLO,Glossop,East Midlands,High Peak,403480,394190,Northern,900620
4760,GCR,Gloucester,South West,Gloucester,383675,218580,Great Western Railway,1479538
5338,GLY,Glynde,South East,Lewes,545790,108670,Govia Thameslink Railway,60998
4457,GOB,Gobowen,West Midlands,Shropshire,330320,333400,Arriva Trains Wales,221138
5629,GOD,Godalming,South East,Waverley,496622,143946,South West Trains,1435048
2948,GDL,Godley,North West,Tameside,396460,394995,Northern,82954
5474,GDN,Godstone,South East,Tandridge,536277,148357,Govia Thameslink Railway,58346
8284,GOE,Goldthorpe,Yorkshire And The Humber,Barnsley,445645,404390,Northern,61788
9096,GOF,Golf Street,Scotland,Angus,355800,734200,ScotRail,104
8643,GOL,Golspie,Scotland,Highland,282550,899750,ScotRail,5718
5298,GOM,Gomshall,South East,Guildford,508915,147842,Great Western Railway,58228
6878,GMY,Goodmayes,London,Redbridge (London),546400,187300,TfL Rail,3845200
8025,GOO,Goole,Yorkshire And The Humber,East Riding of Yorkshire,474414,423753,Northern,293840
1220,GTR,Goostrey,North West,Cheshire East,378300,369550,Northern,50892
6028,GDH,Gordon Hill,London,Enfield (London),531880,197780,Govia Thameslink Railway,1313474
6391,GBG,Gorebridge,Scotland,Midlothian,334560,661279,ScotRail,98218
3033,GOR,Goring & Streatley,South East,South Oxfordshire,460247,180642,Great Western Railway,422086
5272,GBS,Goring-By-Sea,South East,Worthing,510477,103189,Govia Thameslink Railway,469302
2962,GTO,Gorton,North West,Manchester,389064,396939,Northern,113322
1409,GPO,Gospel Oak,London,Camden (London),528300,185670,London Overground,2355852
9635,GRK,Gourock,Scotland,Inverclyde,224280,677950,ScotRail,509780
4131,GWN,Gowerton,Wales - Cymru,Abertawe - Swansea,259240,196400,Arriva Trains Wales,167184
6206,GOX,Goxhill,Yorkshire And The Humber,North Lincolnshire,509940,421310,Northern,13334
6029,GPK,Grange Park,London,Enfield (London),531750,195470,Govia Thameslink Railway,400018
1965,GOS,Grange-Over-Sands,North West,South Lakeland,341200,478150,TransPennine Express,153586
3839,GTN,Grangetown (South Glamorgan),Wales - Cymru,Caerdydd - Cardiff,317455,174965,Arriva Trains Wales,206760
6469,GRA,Grantham,East Midlands,South Kesteven,491400,335200,Virgin Trains East Coast,1369610
5514,GRT,Grateley,South East,Test Valley,426610,141270,South West Trains,279356
1132,GVH,Gravelly Hill,West Midlands,Birmingham,410100,290800,London Midland Trains,768848
5172,GRV,Gravesend,South East,Gravesham,564577,174029,Southeastern,2984420
7443,GRY,Grays,East,Thurrock,561340,177810,c2c,3984598
7922,GTA,Great Ayton,Yorkshire And The Humber,Hambleton,457405,510830,Northern,6890
6855,GRB,Great Bentley,East,Tendring,611198,221460,Greater Anglia,81140
7032,GRC,Great Chesterford,East,Uttlesford,550478,242429,Greater Anglia,114146
6275,GCT,Great Coates,Yorkshire And The Humber,North East Lincolnshire,523900,410420,Northern,10354
4892,GMV,Great Malvern,West Midlands,Malvern Hills,378300,245700,London Midland Trains,559494
1463,GMN,Great Missenden,South East,Chiltern,489300,201319,Chiltern Railways,622988
7328,GYM,Great Yarmouth,East,Great Yarmouth,652000,308100,Greater Anglia,399182
2218,GNL,Green Lane,North West,Wirral,332490,387860,Merseyrail,371726
1996,GNR,Green Road,North West,Copeland,318930,483920,Northern,6982
2325,GBK,Greenbank,North West,Cheshire West and Chester,364450,372850,Northern,230598
9725,GRL,Greenfaulds,Scotland,North Lanarkshire,275591,673147,ScotRail,114784
2900,GNF,Greenfield,North West,Oldham,399180,404690,Northern,369826
3136,GFD,Greenford,London,Ealing (London),514810,183900,London Underground,229870
5138,GNH,Greenhithe,South East,Dartford,558545,174842,Southeastern,1166928
9681,GKC,Greenock Central,Scotland,Inverclyde,228200,675900,ScotRail,369384
9682,GKW,Greenock West,Scotland,Inverclyde,227260,676160,ScotRail,524588
5146,GNW,Greenwich,London,Greenwich (London),538060,177335,Southeastern,2817796
9610,GEA,Gretna Green,Scotland,Dumfries and Galloway,331960,567905,ScotRail,39042
6276,GMD,Grimsby Docks,Yorkshire And The Humber,North East Lincolnshire,527520,410357,Northern,4574
6280,GMB,Grimsby Town,Yorkshire And The Humber,North East Lincolnshire,526800,409125,TransPennine Express,438050
2825,GRN,Grindleford,East Midlands,Derbyshire Dales,425000,378800,Northern,64442
8155,GMT,Grosmont,Yorkshire And The Humber,Scarborough,482800,505270,Northern,13514
5139,GRP,Grove Park,London,Lewisham (London),540640,172145,Southeastern,2617402
2955,GUI,Guide Bridge,North West,Tameside,392550,397550,Northern,337902
5631,GLD,Guildford,South East,Guildford,499200,149600,South West Trains,8192104
8567,GSY,Guiseley,Yorkshire And The Humber,Leeds,418830,442230,Northern,1296244
5588,GUN,Gunnersbury,London,Hounslow (London),519835,178380,London Underground,2535580
3563,GSL,Gunnislake,South West,Cornwall,242750,70830,Great Western Railway,54510
7299,GNT,Gunton,East,North Norfolk,625523,335128,Greater Anglia,15848
4300,GWE,Gwersyllt,Wales - Cymru,Wrecsam - Wrexham,331900,353300,Arriva Trains Wales,32338
7930,GYP,Gypsy Lane,North East,Redcar and Cleveland,453200,515600,Northern,32996
6281,HAB,Habrough,Yorkshire And The Humber,North East Lincolnshire,514600,413560,Northern,33724
5364,HCB,Hackbridge,London,Sutton (London),528580,165930,Govia Thameslink Railway,819780
6977,HKC,Hackney Central,London,Hackney (London),534890,184925,London Overground,4829020
6867,HAC,Hackney Downs,London,Hackney (London),534555,185100,London Overground,3901394
6978,HKW,Hackney Wick,London,Hackney (London),537060,184572,London Overground,2140198
3053,HDM,Haddenham & Thame Parkway,South East,Aylesbury Vale,473091,208549,Chiltern Railways,849150
7300,HAD,Haddiscoe,East,South Norfolk,645842,298493,Greater Anglia,13098
2896,HDF,Hadfield,East Midlands,High Peak,402400,396000,Northern,344442
6075,HDW,Hadley Wood,London,Enfield (London),526225,198210,Govia Thameslink Railway,391718
2585,HGF,Hag Fold,North West,Wigan,367300,404247,Northern,50212
1022,HGG,Haggerston,London,Hackney (London),533555,183955,London Overground,3223048
4577,HAG,Hagley,West Midlands,Bromsgrove,390140,280510,London Midland Trains,529504
9810,HMY,Hairmyres,Scotland,South Lanarkshire,260800,654300,ScotRail,640866
2845,HAL,Hale,North West,Trafford,376990,386930,Northern,178392
7266,HAS,Halesworth,East,Waveney,638868,277868,Greater Anglia,100186
2295,HED,Halewood,North West,Knowsley,344856,385611,Northern,118494
8411,HFX,Halifax,Yorkshire And The Humber,Calderdale,409760,424960,Northern,1992624
4521,HLG,Hall Green,West Midlands,Birmingham,410590,282115,London Midland Trains,418910
2572,HID,Hall I' Th' Wood,North West,Bolton,372757,411285,Northern,157280
2229,HLR,Hall Road,North West,Sefton,330468,400600,Merseyrail,263248
5173,HAI,Halling,South East,Medway,570347,164326,Southeastern,68100
